count	reward_sum	squared_reward_sum	length
3373	306.6925599511587	109.7806304499285	1014
3374	315.1857649846926	129.86899862746074	858
3375	311.62027882101677	122.0869779646694	900
3376	316.4939563348316	136.01287861232643	817
3377	314.0833738344492	126.8672322591909	869
3378	310.3987291298946	117.57248765196532	931
3379	311.51341652623313	117.51784534210883	916
3380	312.470743244695	123.10047467955319	906
3381	310.94861929175903	115.79879608725703	939
3382	316.3611253286055	132.93634358896063	819
3383	312.0932248237122	120.5278371447033	911
3384	316.81848329049245	132.3712470595651	827
3385	-64.91442035466619	10011.105336980012	168
3386	-23.796112650710015	10030.28879225674	284
3387	316.15414049439664	133.8975353705218	852
3388	106.11108771166548	10085.247030540466	568
3389	316.81496376614774	133.16248227751424	855
3390	312.882403751746	124.18959102050869	892
3391	313.5888644244676	124.8316539864283	896
3392	318.80643890333107	139.70681338213578	816
3393	317.2114327078995	130.5748132259101	869
3394	314.286589192512	126.16918823493319	898
3395	316.55885442617426	130.96639522618082	862
3396	319.04338424172914	137.53843978048081	814
3397	315.6218994966368	130.70585374472628	852
3398	315.7806481143391	128.00759052393997	876
3399	317.8990457018649	131.64280192498677	844
3400	315.704877161616	125.99785790545107	876
3401	315.10347092275106	128.63014453352076	864
3402	313.75956471110106	123.5713821997779	904
3403	26.976333898886168	10054.38889329035	376
3404	313.6128397152523	127.09881773841519	870
3405	158.21824537668942	10104.816945420238	714
3406	313.29360703721915	124.83282327069247	910
3407	-64.33374987663643	28.18558771498949	2000
3408	314.07484673176606	123.40328399287961	906
3409	312.0293559065537	122.69611199284522	946
3410	314.0610515847888	121.05240258307484	921
3411	317.233176537382	130.0357804573909	856
3412	312.92170549239523	130.6723574000293	890
3413	-71.16703546406187	10009.164696120924	187
3414	313.0559364056772	126.44155130216356	895
3415	124.2180774667408	10089.060724591345	647
3416	191.66804100346013	10121.302897204974	778
3417	316.84689069827755	125.06078331849393	908
3418	318.2199127361628	131.37478160885502	861
3419	308.63891849460913	115.62550011571851	1024
3420	318.8833292861751	131.78674189927946	846
3421	313.29544962043	121.94402255333411	930
3422	317.09985324211885	132.9548124937845	850
3423	191.55100566021827	10115.094114227924	851
3424	310.09207639159644	118.92661280826	946
3425	8.071703102015547	10047.258808126951	313
3426	312.09484281788275	117.01288659622058	956
3427	315.3767512454137	123.4052480986657	921
3428	315.9286906770629	122.74738359918878	896
3429	312.71479836150553	118.27190786040163	936
3430	96.95628624957601	10080.163368407408	694
3431	316.2630482031827	132.7561928843467	835
3432	313.36346266978484	124.7582618975163	910
3433	319.03275601688523	139.3796405431997	822
3434	316.1302499008111	128.8450987524362	881
3435	313.6022079987026	125.81278641667765	890
3436	9.422376145764773	10044.032138462728	352
3437	314.5634776596876	128.2989722697429	874
3438	-6.9463845426629405	10043.998871056538	299
3439	200.74183772906628	10123.16587325287	843
3440	317.8473453803674	133.63131281837332	838
3441	313.040820866843	132.2663322418759	886
3442	315.94679891694426	130.5836201004941	857
3443	316.09158520289634	131.80368076544534	854
3444	-58.663198327626034	10013.122445922794	170
3445	317.0614343038473	128.93387788647058	860
3446	311.78344159673816	119.24505826168995	949
3447	312.0630433849407	122.21428406677585	900
3448	312.51854425457486	122.92404652387316	938
3449	315.4242409665456	129.07036879499228	877
3450	316.3154619932127	133.7456457522123	835
3451	316.0532977186354	130.05632033974305	863
3452	317.71936296638285	136.13590891315653	818
3453	-34.19330556805839	10026.227373879916	246
3454	317.99273471892553	135.0024196245586	839
3455	317.6046774252295	140.5679482735866	789
3456	86.45310137554097	10080.728156381614	493
3457	314.63979906641407	130.13608427701965	831
3458	28.53822647690663	10055.289099692302	352
3459	315.68846563318215	130.62922986487888	845
3460	311.0120043272263	122.08775106519045	901
3461	317.6627563804084	132.73883840444753	847
3462	317.5581080736236	136.1318845234059	812
3463	-76.42909472386356	10007.680574661717	148
3464	315.1572808866838	123.25841402735216	892
3465	315.9995375666892	125.12521763325046	884
3466	208.0626875461769	10117.71643495595	933
3467	-40.18435942111881	10022.835364867105	219
3468	312.65581411434493	119.18973161649615	908
3469	315.6396138446557	126.86687285703407	866
3470	313.12819447538914	122.84234371877818	879
3471	312.0481458383317	118.91431015160826	912
3472	312.64106008757017	117.48195564445277	925
3473	306.9147391796301	114.00056440682685	1017
3474	52.995746779577104	10057.80241745501	484
3475	313.00968186246683	127.06717716054965	873
3476	288.91913184782413	111.50065325607457	1265
3477	311.0017668899116	121.80259021660063	919
3478	312.5367369167881	125.74120311160743	912
3479	310.3640495007404	117.31818197067774	964
3480	312.8533228098181	120.40669749515413	911
3481	313.6101534848818	125.72505967026692	891
3482	314.8150421041476	125.25923105062404	874
3483	312.5071103795744	124.48485063409923	903
3484	315.4970168972687	126.94578209916695	861
3485	312.79015907216416	121.96762510711052	906
3486	312.945754583251	125.02198280756507	894
3487	316.51653393055807	130.57059441869575	846
3488	316.25269052694387	131.86676433832392	842
3489	309.7289433459409	122.99644296815744	916
3490	55.803147380595505	10065.866119445223	451
3491	306.5990537032199	113.62974004591491	1033
3492	308.9451301625757	112.23691037210193	993
3493	309.391347663281	115.18687951531334	973
3494	312.7282768220939	117.13442499270369	930
3495	306.1024245805516	109.92540176716851	1041
3496	315.18490504444065	130.07423012662554	860
3497	314.2189605165408	122.31157977379479	899
3498	309.5593926246951	115.86395460460223	936
3499	66.89897707229605	10066.114927561848	486
3500	314.1089992663682	124.256463810462	888
3501	142.95367951550347	10105.536059302147	630
3502	312.65526229876036	119.87347989187512	924
3503	320.54988147122515	138.92160042466182	804
3504	308.22540408878	111.30563486128386	1013
3505	316.3290779603638	126.85645581262409	871
3506	65.4381037295818	10067.175093401556	559
3507	313.10437849996737	125.39791948995735	889
3508	313.90041190632195	125.47431452261237	883
3509	312.57196502909113	121.79811212288162	908
3510	315.39277602092744	129.3419846504633	855
3511	313.87757596654126	127.11313460259555	867
3512	317.86944557313376	139.7795957141637	794
3513	310.60232409935946	119.95327994504026	946
3514	308.271290326936	121.32734109482274	952
3515	314.0674823576202	126.46981239498426	883
3516	314.8512229841991	129.91411364278486	860
3517	310.25669631246797	117.51671897604984	969
3518	314.2475463632462	129.46675105805946	850
3519	200.57116119755005	10124.0537541634	841
3520	132.4902203724867	10085.929807164332	747
3521	316.9031850328179	132.8019420685585	835
3522	317.02850810572124	132.61600543297962	835
3523	317.2545342497793	131.07474038964014	852
